keyword,best_label,confidence,score_Transactional,score_Problem-Aware/Solution,score_Brand,score_Informational,score_Trust,score_Commercial
twisting machine,Transactional,0.437,0.437,0.238,0.125,0.119,0.043,0.038
meera industries,Problem-Aware/Solution,0.269,0.223,0.269,0.147,0.213,0.058,0.09
meera industries ltd,Commercial,0.244,0.21,0.222,0.108,0.132,0.084,0.244
cone to cone winding machine,Transactional,0.369,0.369,0.351,0.095,0.115,0.039,0.03
meera industries limited,Problem-Aware/Solution,0.219,0.209,0.219,0.157,0.207,0.068,0.14
ring twister,Problem-Aware/Solution,0.28,0.27,0.28,0.162,0.191,0.046,0.052
cotton yarn twisting machine,Problem-Aware/Solution,0.336,0.252,0.336,0.171,0.16,0.043,0.038
meera corporation,Commercial,0.416,0.235,0.121,0.131,0.064,0.033,0.416
mera machine,Transactional,0.485,0.485,0.208,0.134,0.088,0.042,0.042
meera glass industries,Problem-Aware/Solution,0.328,0.31,0.328,0.081,0.16,0.058,0.063
yarn twister,Informational,0.27,0.205,0.227,0.206,0.27,0.052,0.04
meera,Transactional,0.308,0.308,0.259,0.038,0.226,0.117,0.052
cross winding,Transactional,0.374,0.374,0.181,0.145,0.176,0.07,0.055
winders,Transactional,0.275,0.275,0.206,0.214,0.175,0.066,0.065
meera enterprises,Commercial,0.315,0.172,0.171,0.135,0.168,0.039,0.315
textiles machines,Problem-Aware/Solution,0.287,0.252,0.287,0.143,0.184,0.08,0.053
twisting machine,Transactional,0.437,0.437,0.238,0.125,0.119,0.043,0.038
industries surat,Transactional,0.288,0.288,0.186,0.121,0.213,0.06,0.132
meera industries,Problem-Aware/Solution,0.269,0.223,0.269,0.147,0.213,0.058,0.09
meera industries ltd,Commercial,0.244,0.21,0.222,0.108,0.132,0.084,0.244
winder machine price,Transactional,0.489,0.489,0.19,0.109,0.132,0.025,0.054
heat setting,Transactional,0.274,0.274,0.198,0.237,0.154,0.067,0.07
machine manufacturer in surat,Problem-Aware/Solution,0.268,0.189,0.268,0.207,0.105,0.081,0.15
meera industries limited,Problem-Aware/Solution,0.219,0.209,0.219,0.157,0.207,0.068,0.14
textile machinery supplier,Problem-Aware/Solution,0.284,0.151,0.284,0.234,0.119,0.039,0.173
meera industries share,Problem-Aware/Solution,0.239,0.208,0.239,0.161,0.193,0.087,0.112
ring twister,Problem-Aware/Solution,0.28,0.27,0.28,0.162,0.191,0.046,0.052
yarn filament,Brand,0.351,0.214,0.217,0.351,0.135,0.053,0.03
cotton yarn twisting machine,Problem-Aware/Solution,0.336,0.252,0.336,0.171,0.16,0.043,0.038
meera corporation,Commercial,0.416,0.235,0.121,0.131,0.064,0.033,0.416
meera laser solutions,Problem-Aware/Solution,0.455,0.268,0.455,0.082,0.098,0.051,0.046
mera machine,Transactional,0.485,0.485,0.208,0.134,0.088,0.042,0.042
carpet industrial,Problem-Aware/Solution,0.397,0.14,0.397,0.063,0.065,0.041,0.293
gujarat machinery manufacturers,Problem-Aware/Solution,0.345,0.154,0.345,0.22,0.117,0.074,0.09
list of textile industries in surat,Informational,0.367,0.167,0.252,0.08,0.367,0.08,0.054
meera exports,Transactional,0.773,0.773,0.043,0.034,0.062,0.013,0.075
surat textile industries list,Problem-Aware/Solution,0.329,0.185,0.329,0.101,0.22,0.108,0.057
textile industry surat list,Informational,0.329,0.169,0.255,0.098,0.329,0.088,0.061
marine industrial machines,Transactional,0.296,0.296,0.266,0.138,0.127,0.084,0.088
meera glass industries,Problem-Aware/Solution,0.328,0.31,0.328,0.081,0.16,0.058,0.063
meera laser solutions pvt ltd,Problem-Aware/Solution,0.41,0.247,0.41,0.065,0.091,0.058,0.128
textile machine manufacturer in surat,Problem-Aware/Solution,0.316,0.142,0.316,0.222,0.112,0.072,0.135
textile machine manufacturers in surat,Problem-Aware/Solution,0.318,0.179,0.318,0.158,0.138,0.098,0.11
textile machinery manufacturers in surat,Problem-Aware/Solution,0.32,0.183,0.32,0.16,0.136,0.092,0.109
twist in yarn,Transactional,0.374,0.374,0.186,0.104,0.277,0.039,0.02
twist of yarn,Transactional,0.343,0.343,0.163,0.103,0.331,0.038,0.022
twist with yarn,Transactional,0.387,0.387,0.225,0.113,0.211,0.04,0.024
twisting of yarn,Transactional,0.343,0.343,0.215,0.123,0.245,0.047,0.027
yarn machines,Problem-Aware/Solution,0.338,0.18,0.338,0.22,0.155,0.065,0.043
yarn twist,Transactional,0.327,0.327,0.246,0.132,0.22,0.049,0.026
yarn twister,Informational,0.27,0.205,0.227,0.206,0.27,0.052,0.04
yarn twisting,Transactional,0.345,0.345,0.256,0.166,0.155,0.045,0.032
textile manufacturing machine,Problem-Aware/Solution,0.364,0.214,0.364,0.14,0.16,0.062,0.06
yash textile machines p ltd,Problem-Aware/Solution,0.394,0.146,0.394,0.069,0.176,0.067,0.15
yash textile machines pvt ltd,Problem-Aware/Solution,0.324,0.198,0.324,0.059,0.152,0.086,0.18
textile machine manufacturers in surat,Problem-Aware/Solution,0.318,0.179,0.318,0.158,0.138,0.098,0.11
yarn twister,Informational,0.27,0.205,0.227,0.206,0.27,0.052,0.04
doubler,Brand,0.283,0.158,0.198,0.283,0.231,0.064,0.065
t f o machine,Transactional,0.448,0.448,0.269,0.111,0.085,0.055,0.033
