keyword,best_label,confidence,score_Problem-Aware/Solution
twisting machine,Problem-Aware/Solution,1.0,1.0
meera industries,Problem-Aware/Solution,1.0,1.0
meera industries ltd,Problem-Aware/Solution,1.0,1.0
cone to cone winding machine,Problem-Aware/Solution,1.0,1.0
meera industries limited,Problem-Aware/Solution,1.0,1.0
ring twister,Problem-Aware/Solution,1.0,1.0
cotton yarn twisting machine,Problem-Aware/Solution,1.0,1.0
meera corporation,Problem-Aware/Solution,1.0,1.0
mera machine,Problem-Aware/Solution,1.0,1.0
meera glass industries,Problem-Aware/Solution,1.0,1.0
yarn twister,Problem-Aware/Solution,1.0,1.0
meera,Problem-Aware/Solution,1.0,1.0
cross winding,Problem-Aware/Solution,1.0,1.0
winders,Problem-Aware/Solution,1.0,1.0
meera enterprises,Problem-Aware/Solution,1.0,1.0
textiles machines,Problem-Aware/Solution,1.0,1.0
twisting machine,Problem-Aware/Solution,1.0,1.0
industries surat,Problem-Aware/Solution,1.0,1.0
meera industries,Problem-Aware/Solution,1.0,1.0
meera industries ltd,Problem-Aware/Solution,1.0,1.0
winder machine price,Problem-Aware/Solution,1.0,1.0
heat setting,Problem-Aware/Solution,1.0,1.0
machine manufacturer in surat,Problem-Aware/Solution,1.0,1.0
meera industries limited,Problem-Aware/Solution,1.0,1.0
textile machinery supplier,Problem-Aware/Solution,1.0,1.0
meera industries share,Problem-Aware/Solution,1.0,1.0
ring twister,Problem-Aware/Solution,1.0,1.0
yarn filament,Problem-Aware/Solution,1.0,1.0
cotton yarn twisting machine,Problem-Aware/Solution,1.0,1.0
meera corporation,Problem-Aware/Solution,1.0,1.0
meera laser solutions,Problem-Aware/Solution,1.0,1.0
mera machine,Problem-Aware/Solution,1.0,1.0
carpet industrial,Problem-Aware/Solution,1.0,1.0
gujarat machinery manufacturers,Problem-Aware/Solution,1.0,1.0
list of textile industries in surat,Problem-Aware/Solution,1.0,1.0
meera exports,Problem-Aware/Solution,1.0,1.0
surat textile industries list,Problem-Aware/Solution,1.0,1.0
textile industry surat list,Problem-Aware/Solution,1.0,1.0
marine industrial machines,Problem-Aware/Solution,1.0,1.0
meera glass industries,Problem-Aware/Solution,1.0,1.0
meera laser solutions pvt ltd,Problem-Aware/Solution,1.0,1.0
textile machine manufacturer in surat,Problem-Aware/Solution,1.0,1.0
textile machine manufacturers in surat,Problem-Aware/Solution,1.0,1.0
textile machinery manufacturers in surat,Problem-Aware/Solution,1.0,1.0
twist in yarn,Problem-Aware/Solution,1.0,1.0
twist of yarn,Problem-Aware/Solution,1.0,1.0
twist with yarn,Problem-Aware/Solution,1.0,1.0
twisting of yarn,Problem-Aware/Solution,1.0,1.0
yarn machines,Problem-Aware/Solution,1.0,1.0
yarn twist,Problem-Aware/Solution,1.0,1.0
yarn twister,Problem-Aware/Solution,1.0,1.0
yarn twisting,Problem-Aware/Solution,1.0,1.0
textile manufacturing machine,Problem-Aware/Solution,1.0,1.0
yash textile machines p ltd,Problem-Aware/Solution,1.0,1.0
yash textile machines pvt ltd,Problem-Aware/Solution,1.0,1.0
textile machine manufacturers in surat,Problem-Aware/Solution,1.0,1.0
yarn twister,Problem-Aware/Solution,1.0,1.0
doubler,Problem-Aware/Solution,1.0,1.0
t f o machine,Problem-Aware/Solution,1.0,1.0
tfo machine,Problem-Aware/Solution,1.0,1.0
polyester thread,Problem-Aware/Solution,1.0,1.0
polycherry thread,Problem-Aware/Solution,1.0,1.0
bag thread,Problem-Aware/Solution,1.0,1.0
bag closer thread,Problem-Aware/Solution,1.0,1.0
aalidhra pharmachem pvt ltd,Problem-Aware/Solution,1.0,1.0
11 draw,Problem-Aware/Solution,1.0,1.0
texfab engineers,Problem-Aware/Solution,1.0,1.0
aalidhra textile engineers ltd,Problem-Aware/Solution,1.0,1.0
texfab engineers i pvt ltd,Problem-Aware/Solution,1.0,1.0
alidhra weavetech group,Problem-Aware/Solution,1.0,1.0
textile machine manufacturer in surat,Problem-Aware/Solution,1.0,1.0
textile machine manufacturers in surat,Problem-Aware/Solution,1.0,1.0
textile machinery manufacturers in surat,Problem-Aware/Solution,1.0,1.0
texturing machine,Problem-Aware/Solution,1.0,1.0
weavetech engineers limited,Problem-Aware/Solution,1.0,1.0
weavetech engineers ltd,Problem-Aware/Solution,1.0,1.0
twisting machine,Problem-Aware/Solution,1.0,1.0
t f o machine,Problem-Aware/Solution,1.0,1.0
tfo machine,Problem-Aware/Solution,1.0,1.0
doubler machine,Problem-Aware/Solution,1.0,1.0
doubling machine,Problem-Aware/Solution,1.0,1.0
cotton yarn twisting machine,Problem-Aware/Solution,1.0,1.0
aalidhra textile engineers ltd,Problem-Aware/Solution,1.0,1.0
alidhra weavetech group,Problem-Aware/Solution,1.0,1.0
yarn twister,Problem-Aware/Solution,1.0,1.0
weavetech engineers limited,Problem-Aware/Solution,1.0,1.0
weavetech engineers ltd,Problem-Aware/Solution,1.0,1.0
aawadkrupa plastomech private limited,Problem-Aware/Solution,1.0,1.0
aawadkrupa plastomech pvt ltd,Problem-Aware/Solution,1.0,1.0
ring twister,Problem-Aware/Solution,1.0,1.0
aawadkrupa plastomech private limited,Problem-Aware/Solution,1.0,1.0
aawadkrupa plastomech pvt ltd,Problem-Aware/Solution,1.0,1.0
ring twister,Problem-Aware/Solution,1.0,1.0
making rope machine,Problem-Aware/Solution,1.0,1.0
rope making machine,Problem-Aware/Solution,1.0,1.0
technology plastomech pvt ltd,Problem-Aware/Solution,1.0,1.0
machine rope,Problem-Aware/Solution,1.0,1.0
rope machine,Problem-Aware/Solution,1.0,1.0
dty,Problem-Aware/Solution,1.0,1.0
bagat,Problem-Aware/Solution,1.0,1.0
