keyword,best_label,confidence,score_Brand
twisting machine,Brand,1.0,1.0
meera industries,Brand,1.0,1.0
meera industries ltd,Brand,1.0,1.0
cone to cone winding machine,Brand,1.0,1.0
meera industries limited,Brand,1.0,1.0
ring twister,Brand,1.0,1.0
cotton yarn twisting machine,Brand,1.0,1.0
meera corporation,Brand,1.0,1.0
mera machine,Brand,1.0,1.0
meera glass industries,Brand,1.0,1.0
yarn twister,Brand,1.0,1.0
meera,Brand,1.0,1.0
cross winding,Brand,1.0,1.0
winders,Brand,1.0,1.0
meera enterprises,Brand,1.0,1.0
textiles machines,Brand,1.0,1.0
twisting machine,Brand,1.0,1.0
industries surat,Brand,1.0,1.0
meera industries,Brand,1.0,1.0
meera industries ltd,Brand,1.0,1.0
winder machine price,Brand,1.0,1.0
heat setting,Brand,1.0,1.0
machine manufacturer in surat,Brand,1.0,1.0
meera industries limited,Brand,1.0,1.0
textile machinery supplier,Brand,1.0,1.0
meera industries share,Brand,1.0,1.0
ring twister,Brand,1.0,1.0
yarn filament,Brand,1.0,1.0
cotton yarn twisting machine,Brand,1.0,1.0
meera corporation,Brand,1.0,1.0
meera laser solutions,Brand,1.0,1.0
mera machine,Brand,1.0,1.0
carpet industrial,Brand,1.0,1.0
gujarat machinery manufacturers,Brand,1.0,1.0
list of textile industries in surat,Brand,1.0,1.0
meera exports,Brand,1.0,1.0
surat textile industries list,Brand,1.0,1.0
textile industry surat list,Brand,1.0,1.0
marine industrial machines,Brand,1.0,1.0
meera glass industries,Brand,1.0,1.0
meera laser solutions pvt ltd,Brand,1.0,1.0
textile machine manufacturer in surat,Brand,1.0,1.0
textile machine manufacturers in surat,Brand,1.0,1.0
textile machinery manufacturers in surat,Brand,1.0,1.0
twist in yarn,Brand,1.0,1.0
twist of yarn,Brand,1.0,1.0
twist with yarn,Brand,1.0,1.0
twisting of yarn,Brand,1.0,1.0
yarn machines,Brand,1.0,1.0
yarn twist,Brand,1.0,1.0
yarn twister,Brand,1.0,1.0
yarn twisting,Brand,1.0,1.0
textile manufacturing machine,Brand,1.0,1.0
yash textile machines p ltd,Brand,1.0,1.0
yash textile machines pvt ltd,Brand,1.0,1.0
textile machine manufacturers in surat,Brand,1.0,1.0
yarn twister,Brand,1.0,1.0
doubler,Brand,1.0,1.0
t f o machine,Brand,1.0,1.0
tfo machine,Brand,1.0,1.0
polyester thread,Brand,1.0,1.0
polycherry thread,Brand,1.0,1.0
bag thread,Brand,1.0,1.0
bag closer thread,Brand,1.0,1.0
aalidhra pharmachem pvt ltd,Brand,1.0,1.0
11 draw,Brand,1.0,1.0
texfab engineers,Brand,1.0,1.0
aalidhra textile engineers ltd,Brand,1.0,1.0
texfab engineers i pvt ltd,Brand,1.0,1.0
alidhra weavetech group,Brand,1.0,1.0
textile machine manufacturer in surat,Brand,1.0,1.0
textile machine manufacturers in surat,Brand,1.0,1.0
textile machinery manufacturers in surat,Brand,1.0,1.0
texturing machine,Brand,1.0,1.0
weavetech engineers limited,Brand,1.0,1.0
weavetech engineers ltd,Brand,1.0,1.0
twisting machine,Brand,1.0,1.0
t f o machine,Brand,1.0,1.0
tfo machine,Brand,1.0,1.0
doubler machine,Brand,1.0,1.0
doubling machine,Brand,1.0,1.0
cotton yarn twisting machine,Brand,1.0,1.0
aalidhra textile engineers ltd,Brand,1.0,1.0
alidhra weavetech group,Brand,1.0,1.0
yarn twister,Brand,1.0,1.0
weavetech engineers limited,Brand,1.0,1.0
weavetech engineers ltd,Brand,1.0,1.0
aawadkrupa plastomech private limited,Brand,1.0,1.0
aawadkrupa plastomech pvt ltd,Brand,1.0,1.0
ring twister,Brand,1.0,1.0
aawadkrupa plastomech private limited,Brand,1.0,1.0
aawadkrupa plastomech pvt ltd,Brand,1.0,1.0
ring twister,Brand,1.0,1.0
making rope machine,Brand,1.0,1.0
rope making machine,Brand,1.0,1.0
technology plastomech pvt ltd,Brand,1.0,1.0
machine rope,Brand,1.0,1.0
rope machine,Brand,1.0,1.0
dty,Brand,1.0,1.0
bagat,Brand,1.0,1.0
